type,amount,to,from,tokenName,txn_hash,status,createdAt,clientFee,_id
Deposit,9945027,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0x613b4d9f92e7b424136173c583a30f6e502fcd104c76ce1039a79ac6a17f65c5,confirmed,2022-04-20T20:29:33.087Z,0,62606d2d2f153f021fa32710
Deposit,49725137,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0x80452f479e42660e009609252ba9315fdeac345b26c3a2907dbbc2e01df45e36,confirmed,2022-04-20T20:25:39.231Z,0,62606c435c85ec002357cba8
Deposit,2988505,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0x18f36ad1d0f6ebc6e5ddc426bae16b42c374a0a40d89434ed6e1eb49a56815d5,confirmed,2022-04-20T00:41:00.003Z,0,625f569c5435a500229bff0a
Withdrawal,12388950,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-20T00:36:26.762Z,0,625f558a5c85ec002302b2ce
Deposit,4977511,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0x227da8db06da50f0dec6df0c3cee379fa2300e61529b0cb797d4ca0d64512400,confirmed,2022-04-19T20:59:01.563Z,0,625f22952f153f021f9b53b5
Deposit,4977511,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0xb4b4f5bbb053f115997922fd5972df3d375af85aff08371f6b472bf4989334c6,confirmed,2022-04-19T20:59:01.335Z,0,625f22955c85ec0023f34a33
Deposit,4977511,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,0x48ff4022c6dfbfebbbb76b0f3800880ca0ad2e53,usdc,0x087710d56a125ae1ceed98cda6d74141a9b774d0aeb0d7760bcdf1337612af09,confirmed,2022-04-19T20:22:21.914Z,0,625f19fd5435a500228a1f4f
Withdrawal,4725000,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-19T20:17:18.064Z,0,625f18ce5c85ec0023f07f2d
Withdrawal,9450,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-19T20:10:54.828Z,0,625f174e5c85ec0023eff86e
Withdrawal,9450,0xd15622e2f257607d01e83C3e68bBDbEAB5042733,0x8Bb15F69f93C6D99fc801A69349faB8Ed8B4b2f2,usdc,,confirmed,2022-04-19T20:06:42.332Z,0,625f16525435a5002288e561
